year,name,percent,count,
1984,NA,0,0
1984,Female,0.2,1
1984,Male,0.8,4
1985,NA,0,0
1985,Female,0.4,2
1985,Male,0.6,3
1986,NA,0,0
1986,Female,0.17,1
1986,Male,0.83,5
1987,NA,0,0
1987,Female,0.2,1
1987,Male,0.8,4
1988,NA,0,0
1988,Female,0.17,1
1988,Male,0.83,5
1989,NA,0,0
1989,Female,0.4,4
1989,Male,0.6,6
1990,NA,0,0
1990,Female,0.43,3
1990,Male,0.57,4
1991,NA,0.11,1
1991,Female,0.33,3
1991,Male,0.56,5
1992,NA,0,0
1992,Female,0.44,4
1992,Male,0.56,5
1993,NA,0,0
1993,Female,0.38,3
1993,Male,0.63,5
1994,NA,0,0
1994,Female,0.38,3
1994,Male,0.63,5
1995,NA,0,0
1995,Female,0.5,4
1995,Male,0.5,4
1996,NA,0,0
1996,Female,0.33,3
1996,Male,0.67,6
1997,NA,0,0
1997,Female,0.33,3
1997,Male,0.67,6
1998,NA,0,0
1998,Female,0.36,4
1998,Male,0.64,7
1999,NA,0,0
1999,Female,0.42,5
1999,Male,0.58,7
2000,NA,0,0
2000,Female,0.4,4
2000,Male,0.6,6
2001,NA,0,0
2001,Female,0.5,5
2001,Male,0.5,5
2002,NA,0,0
2002,Female,0.4,2
2002,Male,0.6,3
2003,NA,0,0
2003,Female,0.33,3
2003,Male,0.67,6
2004,NA,0,0
2004,Female,0.25,2
2004,Male,0.75,6
